Date,Team1_swID,Team1,Team1_Location,Team1_Score,Team2_swID,Team2,Team2_Location,Team2_Score
5/9/15,3,D.C. United,H,1,19,Sporting Kansas City,A,1
5/9/15,12,FC Dallas,H,2,14,Los Angeles Galaxy,A,1
5/9/15,4,Montreal Impact,H,1,15,Portland Timbers,A,2
5/9/15,20,Vancouver Whitecaps FC,H,3,9,Philadelphia Union,A,0
5/10/15,10,Toronto FC,H,1,13,Houston Dynamo,A,2
5/10/15,7,New York Red Bulls,H,2,6,New York City FC,A,1
5/13/15,3,D.C. United,H,2,8,Orlando City SC,A,1
5/15/15,6,New York City FC,H,2,1,Chicago Fire,A,2
5/15/15,12,FC Dallas,H,0,7,New York Red Bulls,A,0
5/16/15,17,San Jose Earthquakes,H,2,2,Columbus Crew SC,A,0
5/16/15,13,Houston Dynamo,H,3,15,Portland Timbers,A,1
5/16/15,4,Montreal Impact,H,4,16,Real Salt Lake,A,1
5/16/15,5,New England Revolution,H,1,10,Toronto FC,A,1
5/16/15,20,Vancouver Whitecaps FC,H,0,18,Seattle Sounders FC,A,2
5/17/15,9,Philadelphia Union,H,1,3,D.C. United,A,0
5/17/15,8,Orlando City SC,H,4,14,Los Angeles Galaxy,A,0
5/20/15,19,Sporting Kansas City,H,4,5,New England Revolution,A,2
5/22/15,2,Columbus Crew SC,H,2,1,Chicago Fire,A,2
5/22/15,14,Los Angeles Galaxy,H,1,13,Houston Dynamo,A,0
5/23/15,11,Colorado Rapids,H,1,20,Vancouver Whitecaps FC,A,0
5/23/15,5,New England Revolution,H,1,3,D.C. United,A,1
5/23/15,4,Montreal Impact,H,2,12,FC Dallas,A,1
5/23/15,16,Real Salt Lake,H,2,6,New York City FC,A,0
5/23/15,10,Toronto FC,H,1,15,Portland Timbers,A,0
5/23/15,18,Seattle Sounders FC,H,0,19,Sporting Kansas City,A,0
5/24/15,7,New York Red Bulls,H,0,9,Philadelphia Union,A,2
5/24/15,17,San Jose Earthquakes,H,1,8,Orlando City SC,A,1
5/27/15,18,Seattle Sounders FC,H,1,11,Colorado Rapids,A,0
5/27/15,15,Portland Timbers,H,1,3,D.C. United,A,0
5/27/15,14,Los Angeles Galaxy,H,1,16,Real Salt Lake,A,0
5/29/15,19,Sporting Kansas City,H,4,12,FC Dallas,A,0
5/30/15,1,Chicago Fire,H,3,4,Montreal Impact,A,0
5/30/15,11,Colorado Rapids,H,1,15,Portland Timbers,A,2
5/30/15,8,Orlando City SC,H,2,2,Columbus Crew SC,A,2
5/30/15,3,D.C. United,H,2,9,Philadelphia Union,A,1
5/30/15,6,New York City FC,H,1,13,Houston Dynamo,A,1
5/30/15,20,Vancouver Whitecaps FC,H,2,16,Real Salt Lake,A,1
5/30/15,10,Toronto FC,H,3,17,San Jose Earthquakes,A,1
5/31/15,5,New England Revolution,H,2,14,Los Angeles Galaxy,A,2
5/31/15,18,Seattle Sounders FC,H,2,7,New York Red Bulls,A,1
6/3/15,3,D.C. United,H,3,1,Chicago Fire,A,1
6/3/15,9,Philadelphia Union,H,3,2,Columbus Crew SC,A,0
6/3/15,4,Montreal Impact,H,2,20,Vancouver Whitecaps FC,A,1
6/5/15,13,Houston Dynamo,H,4,7,New York Red Bulls,A,2
6/6/15,1,Chicago Fire,H,2,8,Orlando City SC,A,3
6/6/15,2,Columbus Crew SC,H,1,4,Montreal Impact,A,2
6/6/15,3,D.C. United,H,1,10,Toronto FC,A,2
6/6/15,14,Los Angeles Galaxy,H,0,20,Vancouver Whitecaps FC,A,1
6/6/15,15,Portland Timbers,H,2,5,New England Revolution,A,0
6/6/15,9,Philadelphia Union,H,1,6,New York City FC,A,2
6/6/15,19,Sporting Kansas City,H,1,18,Seattle Sounders FC,A,0
6/7/15,16,Real Salt Lake,H,0,11,Colorado Rapids,A,0
6/7/15,17,San Jose Earthquakes,H,0,12,FC Dallas,A,0
6/13/15,5,New England Revolution,H,2,1,Chicago Fire,A,0
6/13/15,2,Columbus Crew SC,H,1,14,Los Angeles Galaxy,A,1
6/13/15,18,Seattle Sounders FC,H,3,12,FC Dallas,A,0
6/13/15,6,New York City FC,H,3,4,Montreal Impact,A,1
6/14/15,8,Orlando City SC,H,1,3,D.C. United,A,0
6/19/15,11,Colorado Rapids,H,1,12,FC Dallas,A,1
6/20/15,15,Portland Timbers,H,2,13,Houston Dynamo,A,0
6/20/15,14,Los Angeles Galaxy,H,5,9,Philadelphia Union,A,1
6/20/15,4,Montreal Impact,H,2,8,Orlando City SC,A,0
6/20/15,10,Toronto FC,H,0,6,New York City FC,A,2
6/20/15,7,New York Red Bulls,H,1,20,Vancouver Whitecaps FC,A,2
6/20/15,18,Seattle Sounders FC,H,0,17,San Jose Earthquakes,A,2
6/21/15,3,D.C. United,H,2,5,New England Revolution,A,1
6/21/15,16,Real Salt Lake,H,2,19,Sporting Kansas City,A,1
6/24/15,1,Chicago Fire,H,0,3,D.C. United,A,1
6/24/15,8,Orlando City SC,H,2,11,Colorado Rapids,A,0
6/24/15,2,Columbus Crew SC,H,2,5,New England Revolution,A,1
6/24/15,14,Los Angeles Galaxy,H,5,15,Portland Timbers,A,0
6/24/15,10,Toronto FC,H,3,4,Montreal Impact,A,1
6/24/15,7,New York Red Bulls,H,1,16,Real Salt Lake,A,0
6/24/15,9,Philadelphia Union,H,1,18,Seattle Sounders FC,A,0
6/26/15,12,FC Dallas,H,2,13,Houston Dynamo,A,0
6/27/15,19,Sporting Kansas City,H,2,11,Colorado Rapids,A,0
6/27/15,16,Real Salt Lake,H,2,2,Columbus Crew SC,A,2
6/27/15,10,Toronto FC,H,0,3,D.C. United,A,0
6/27/15,17,San Jose Earthquakes,H,3,14,Los Angeles Galaxy,A,1
6/27/15,9,Philadelphia Union,H,2,4,Montreal Impact,A,2
6/27/15,5,New England Revolution,H,1,20,Vancouver Whitecaps FC,A,2
6/28/15,6,New York City FC,H,1,7,New York Red Bulls,A,3
6/28/15,15,Portland Timbers,H,4,18,Seattle Sounders FC,A,1
7/3/15,13,Houston Dynamo,H,1,1,Chicago Fire,A,1
7/3/15,18,Seattle Sounders FC,H,1,3,D.C. United,A,0
7/4/15,11,Colorado Rapids,H,2,20,Vancouver Whitecaps FC,A,1
7/4/15,2,Columbus Crew SC,H,2,7,New York Red Bulls,A,1
7/4/15,12,FC Dallas,H,3,5,New England Revolution,A,0
7/4/15,14,Los Angeles Galaxy,H,4,10,Toronto FC,A,0
7/4/15,4,Montreal Impact,H,1,6,New York City FC,A,2
7/4/15,16,Real Salt Lake,H,1,8,Orlando City SC,A,1
7/5/15,15,Portland Timbers,H,1,17,San Jose Earthquakes,A,0
7/10/15,17,San Jose Earthquakes,H,0,13,Houston Dynamo,A,2
7/11/15,1,Chicago Fire,H,1,18,Seattle Sounders FC,A,0
7/11/15,11,Colorado Rapids,H,3,16,Real Salt Lake,A,1
7/11/15,4,Montreal Impact,H,3,2,Columbus Crew SC,A,0
7/11/15,8,Orlando City SC,H,0,12,FC Dallas,A,2
7/11/15,7,New York Red Bulls,H,4,5,New England Revolution,A,1
7/11/15,9,Philadelphia Union,H,3,15,Portland Timbers,A,0
7/12/15,6,New York City FC,H,4,10,Toronto FC,A,4
7/12/15,20,Vancouver Whitecaps FC,H,0,19,Sporting Kansas City,A,1
7/15/15,1,Chicago Fire,H,0,2,Columbus Crew SC,A,1
7/17/15,14,Los Angeles Galaxy,H,5,17,San Jose Earthquakes,A,2
7/18/15,18,Seattle Sounders FC,H,0,11,Colorado Rapids,A,1
7/18/15,12,FC Dallas,H,2,3,D.C. United,A,1
7/18/15,16,Real Salt Lake,H,2,13,Houston Dynamo,A,0
7/18/15,19,Sporting Kansas City,H,2,4,Montreal Impact,A,1
7/18/15,5,New England Revolution,H,1,6,New York City FC,A,0
7/18/15,8,Orlando City SC,H,0,7,New York Red Bulls,A,2
7/18/15,10,Toronto FC,H,2,9,Philadelphia Union,A,1
7/18/15,15,Portland Timbers,H,1,20,Vancouver Whitecaps FC,A,1
7/19/15,2,Columbus Crew SC,H,3,1,Chicago Fire,A,1
7/24/15,16,Real Salt Lake,H,2,19,Sporting Kansas City,A,1
7/25/15,1,Chicago Fire,H,2,5,New England Revolution,A,2
7/25/15,2,Columbus Crew SC,H,3,10,Toronto FC,A,3
7/25/15,12,FC Dallas,H,4,15,Portland Timbers,A,1
7/25/15,13,Houston Dynamo,H,3,14,Los Angeles Galaxy,A,0
7/25/15,4,Montreal Impact,H,1,18,Seattle Sounders FC,A,0
7/26/15,3,D.C. United,H,3,9,Philadelphia Union,A,2
