Matchname,Half,Time,EventName,Player1Name,Player1ClubName,Player2Name,Player2Clubname,XPosOrigin,YPosOrigin,XPosDest,YPosDest,Rotation,Zone,PossRegain,PossLoss,PossWon
Chicago Fire v Colorado Rapids,First Half,0.000,Start Of Half,Dillon POWERS,Colorado Rapids,,,0.00,0.00,0.00,-1.00,180,Zone 46,4,3,4
Chicago Fire v Colorado Rapids,First Half,0.500,Pass,Kevin DOYLE,Colorado Rapids,,,0.00,-1.00,11.00,0.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,1.500,Touch,Marcelo SARVAS,Colorado Rapids,,,11.00,0.00,11.00,1.00,180,Zone 53,7,10,7
Chicago Fire v Colorado Rapids,First Half,2.000,Pass,Marcelo SARVAS,Colorado Rapids,,,11.00,1.00,25.00,15.00,180,Zone 53,7,10,7
Chicago Fire v Colorado Rapids,First Half,4.300,Touch,Maynor FIGUEROA,Colorado Rapids,,,25.00,15.00,23.00,15.00,180,Zone 62,15,18,15
Chicago Fire v Colorado Rapids,First Half,6.000,Pass,Maynor FIGUEROA,Colorado Rapids,,,23.00,15.00,-26.00,20.00,180,Zone 61,15,18,15
Chicago Fire v Colorado Rapids,First Half,8.500,Header,Matt POLSTER,Chicago Fire,Dillon POWERS,Colorado Rapids,-26.00,20.00,-18.00,17.00,0,Zone 98,12,13,12
Chicago Fire v Colorado Rapids,First Half,9.100,Touch,Michael STEPHENS,Chicago Fire,,,-18.00,17.00,-18.00,15.00,0,Zone 97,9,6,9
Chicago Fire v Colorado Rapids,First Half,10.300,Pass,Michael STEPHENS,Chicago Fire,,,-18.00,15.00,-4.00,-8.00,0,Zone 97,9,6,9
Chicago Fire v Colorado Rapids,First Half,11.800,Touch,David ACCAM,Chicago Fire,,,-4.00,-8.00,-5.00,-7.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,12.400,Touch,David ACCAM,Chicago Fire,,,-5.00,-7.00,-1.00,-2.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,12.600,Foul,David ACCAM,Chicago Fire,Gabriel TORRES,Colorado Rapids,-1.00,-2.00,-1.00,-2.00,0,Zone 53,4,16,4
Chicago Fire v Colorado Rapids,First Half,27.100,Direct Free Kick Pass,Michael STEPHENS,Chicago Fire,,,-1.00,-2.00,-2.00,-28.00,0,Zone 53,9,6,9
Chicago Fire v Colorado Rapids,First Half,28.600,Touch,Joevin JONES,Chicago Fire,,,-2.00,-28.00,-3.00,-29.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,29.900,Pass,Joevin JONES,Chicago Fire,,,-3.00,-29.00,-13.00,-18.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,31.000,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-13.00,-18.00,-12.00,-18.00,0,Zone 52,8,9,8
Chicago Fire v Colorado Rapids,First Half,32.100,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-12.00,-18.00,-11.00,-21.00,0,Zone 52,8,9,8
Chicago Fire v Colorado Rapids,First Half,33.500,Pass,Jeff LARENTOWICZ,Chicago Fire,,,-11.00,-21.00,14.00,-20.00,0,Zone 51,8,9,8
Chicago Fire v Colorado Rapids,First Half,35.400,Touch,Kennedy IGBOANANIKE,Chicago Fire,,,14.00,-20.00,10.00,-20.00,0,Zone 43,0,9,0
Chicago Fire v Colorado Rapids,First Half,36.100,Touch,Nick LABROCCA,Colorado Rapids,,,10.00,-20.00,12.00,-21.00,180,Zone 57,8,6,8
Chicago Fire v Colorado Rapids,First Half,36.300,Touch,Nick LABROCCA,Colorado Rapids,,,12.00,-21.00,9.00,-21.00,180,Zone 58,8,6,8
Chicago Fire v Colorado Rapids,First Half,38.000,Pass,Nick LABROCCA,Colorado Rapids,,,9.00,-21.00,6.00,-29.00,180,Zone 57,8,6,8
Chicago Fire v Colorado Rapids,First Half,39.100,Pass,Gabriel TORRES,Colorado Rapids,,,6.00,-29.00,-1.00,-20.00,180,Zone 57,5,11,5
Chicago Fire v Colorado Rapids,First Half,39.700,Touch,Kevin DOYLE,Colorado Rapids,,,-1.00,-20.00,-1.00,-21.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,40.500,Touch,Kevin DOYLE,Colorado Rapids,Jeff LARENTOWICZ,Chicago Fire,-1.00,-21.00,-1.00,-31.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,42.200,Pass,Kevin DOYLE,Colorado Rapids,,,-1.00,-31.00,-27.00,-25.00,180,Zone 50,4,5,4
Chicago Fire v Colorado Rapids,First Half,45.100,Touch,Gabriel TORRES,Colorado Rapids,,,-27.00,-25.00,-39.00,-19.00,180,Zone 41,5,11,5
Chicago Fire v Colorado Rapids,First Half,46.300,Cross,Gabriel TORRES,Colorado Rapids,,,-39.00,-19.00,-45.00,3.00,180,Zone 29,5,11,5
Chicago Fire v Colorado Rapids,First Half,48.000,Shot,Dillon SERNA,Colorado Rapids,,,-45.00,3.00,-5.00,0.00,180,Zone 17,5,11,5
Chicago Fire v Colorado Rapids,First Half,48.400,Goal,Dillon SERNA,Colorado Rapids,,,-5.00,0.00,0.00,1.00,180,Zone 46,5,11,5
Chicago Fire v Colorado Rapids,First Half,94.800,Kick Off,Kennedy IGBOANANIKE,Chicago Fire,,,0.00,1.00,0.00,0.00,0,Zone 55,0,9,0
Chicago Fire v Colorado Rapids,First Half,95.000,Pass,Harrison SHIPP,Chicago Fire,,,0.00,0.00,-8.00,0.00,0,Zone 55,3,8,2
Chicago Fire v Colorado Rapids,First Half,96.000,Touch,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,-8.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,96.400,Touch,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,-9.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,97.200,Touch,Michael STEPHENS,Chicago Fire,Kevin DOYLE,Colorado Rapids,-9.00,0.00,-7.00,1.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,98.000,Touch,Michael STEPHENS,Chicago Fire,,,-7.00,1.00,-3.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,98.400,Touch,Michael STEPHENS,Chicago Fire,,,-3.00,0.00,-3.00,0.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,99.800,Dribble,Michael STEPHENS,Chicago Fire,,,-8.00,0.00,2.00,5.00,0,Zone 55,9,6,9
Chicago Fire v Colorado Rapids,First Half,99.900,Pass,Michael STEPHENS,Chicago Fire,,,2.00,5.00,5.00,-25.00,0,Zone 48,9,6,9
Chicago Fire v Colorado Rapids,First Half,101.900,Touch,David ACCAM,Chicago Fire,,,5.00,-25.00,4.00,-24.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,103.200,Touch,David ACCAM,Chicago Fire,,,4.00,-24.00,4.00,-21.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,103.800,Pass,David ACCAM,Chicago Fire,,,4.00,-21.00,-1.00,-18.00,0,Zone 44,4,16,4
Chicago Fire v Colorado Rapids,First Half,105.000,Pass,Matt WATSON,Chicago Fire,,,-1.00,-18.00,-4.00,-26.00,0,Zone 51,8,10,8
Chicago Fire v Colorado Rapids,First Half,106.500,Pass,Joevin JONES,Chicago Fire,,,-4.00,-26.00,-20.00,-18.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,108.400,Pass,Matt WATSON,Chicago Fire,,,-20.00,-18.00,21.00,1.00,0,Zone 61,8,10,8
Chicago Fire v Colorado Rapids,First Half,110.600,Header,Maynor FIGUEROA,Colorado Rapids,,,21.00,1.00,-2.00,-11.00,180,Zone 88,15,18,15
Chicago Fire v Colorado Rapids,First Half,112.600,Pass,Dillon POWERS,Colorado Rapids,,,-2.00,-11.00,-9.00,-1.00,180,Zone 48,4,3,4
Chicago Fire v Colorado Rapids,First Half,113.700,Touch,Kevin DOYLE,Colorado Rapids,,,-9.00,-1.00,-9.00,-1.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,114.900,Pass,Kevin DOYLE,Colorado Rapids,,,-9.00,-1.00,-3.00,-11.00,180,Zone 48,4,5,4
Chicago Fire v Colorado Rapids,First Half,115.700,Touch,Marcelo SARVAS,Colorado Rapids,,,-3.00,-11.00,-9.00,-10.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,116.800,Tackle,Marcelo SARVAS,Colorado Rapids,Matt WATSON,Chicago Fire,-9.00,-10.00,-6.00,-11.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,116.900,Block,Marcelo SARVAS,Colorado Rapids,,,-6.00,-11.00,-9.00,-31.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,118.300,Header,Gabriel TORRES,Colorado Rapids,,,-9.00,-31.00,-38.00,-6.00,180,Zone 50,5,11,5
Chicago Fire v Colorado Rapids,First Half,122.500,Touch,Eric GEHRIG,Chicago Fire,,,-38.00,-6.00,-47.00,-19.00,0,Zone 70,10,8,10
Chicago Fire v Colorado Rapids,First Half,124.900,Touch,Eric GEHRIG,Chicago Fire,,,-47.00,-19.00,-46.00,-27.00,0,Zone 65,10,8,10
Chicago Fire v Colorado Rapids,First Half,127.600,Clearance,Eric GEHRIG,Chicago Fire,,,-46.00,-27.00,-43.00,-28.00,0,Zone 60,10,8,10
Chicago Fire v Colorado Rapids,First Half,127.700,Block,Gabriel TORRES,Colorado Rapids,,,-43.00,-28.00,-32.00,-34.00,180,Zone 42,5,11,5
Chicago Fire v Colorado Rapids,First Half,138.600,Throw In,Joevin JONES,Chicago Fire,,,-32.00,-34.00,-22.00,-27.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,139.200,Touch,Matt WATSON,Chicago Fire,,,-22.00,-27.00,-22.00,-28.00,0,Zone 59,8,10,8
Chicago Fire v Colorado Rapids,First Half,140.100,Touch,Matt WATSON,Chicago Fire,,,-22.00,-28.00,-18.00,-22.00,0,Zone 59,8,10,8
Chicago Fire v Colorado Rapids,First Half,141.500,Pass,Matt WATSON,Chicago Fire,,,-18.00,-22.00,-30.00,-28.00,0,Zone 59,8,10,8
Chicago Fire v Colorado Rapids,First Half,142.400,Clearance,Joevin JONES,Chicago Fire,,,-30.00,-28.00,-8.00,-35.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,155.800,Throw In,Drew MOOR,Colorado Rapids,,,-16.00,-34.00,-32.00,-30.00,180,Zone 49,13,15,13
Chicago Fire v Colorado Rapids,First Half,156.600,Header,Joevin JONES,Chicago Fire,,,-32.00,-30.00,-17.00,-32.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,158.100,Pass,David ACCAM,Chicago Fire,,,-17.00,-32.00,-13.00,-31.00,0,Zone 52,4,16,4
Chicago Fire v Colorado Rapids,First Half,159.000,Touch,Drew MOOR,Colorado Rapids,,,-13.00,-31.00,-13.00,-31.00,180,Zone 49,13,15,13
Chicago Fire v Colorado Rapids,First Half,159.300,Pass,Drew MOOR,Colorado Rapids,,,-13.00,-31.00,-16.00,-32.00,180,Zone 49,13,15,13
Chicago Fire v Colorado Rapids,First Half,159.500,Block,David ACCAM,Chicago Fire,,,-16.00,-32.00,-10.00,-29.00,0,Zone 52,4,16,4
Chicago Fire v Colorado Rapids,First Half,161.100,Pass,Nick LABROCCA,Colorado Rapids,,,-10.00,-29.00,-48.00,-26.00,180,Zone 50,8,6,8
Chicago Fire v Colorado Rapids,First Half,165.800,Cross,Kevin DOYLE,Colorado Rapids,,,-48.00,-26.00,-45.00,7.00,180,Zone 42,4,5,4
Chicago Fire v Colorado Rapids,First Half,169.400,Header,Matt POLSTER,Chicago Fire,Dillon SERNA,Colorado Rapids,-45.00,7.00,-30.00,35.00,0,Zone 81,12,13,12
Chicago Fire v Colorado Rapids,First Half,176.900,Throw In,Maynor FIGUEROA,Colorado Rapids,,,-28.00,34.00,-24.00,23.00,180,Zone 2,15,18,15
Chicago Fire v Colorado Rapids,First Half,177.900,Touch,Marcelo SARVAS,Colorado Rapids,,,-24.00,23.00,-23.00,21.00,180,Zone 2,7,10,7
Chicago Fire v Colorado Rapids,First Half,179.600,Pass,Marcelo SARVAS,Colorado Rapids,,,-23.00,21.00,-29.00,20.00,180,Zone 2,7,10,7
Chicago Fire v Colorado Rapids,First Half,179.700,Block,Michael STEPHENS,Chicago Fire,,,-29.00,20.00,-29.00,28.00,0,Zone 98,9,6,9
Chicago Fire v Colorado Rapids,First Half,181.000,Pass,Maynor FIGUEROA,Colorado Rapids,,,-29.00,28.00,-35.00,29.00,180,Zone 2,15,18,15
Chicago Fire v Colorado Rapids,First Half,181.800,Pass,Dillon SERNA,Colorado Rapids,,,-35.00,29.00,-29.00,28.00,180,Zone 1,5,11,5
Chicago Fire v Colorado Rapids,First Half,183.400,Touch,Patrick NYARKO,Chicago Fire,,,-29.00,28.00,-17.00,11.00,0,Zone 99,10,14,10
Chicago Fire v Colorado Rapids,First Half,184.300,Foul,Patrick NYARKO,Chicago Fire,Marcelo SARVAS,Colorado Rapids,-17.00,11.00,-19.00,24.00,0,Zone 56,10,14,10
Chicago Fire v Colorado Rapids,First Half,199.300,Direct Free Kick Pass,Michael STEPHENS,Chicago Fire,,,-19.00,24.00,-25.00,20.00,0,Zone 99,9,6,9
Chicago Fire v Colorado Rapids,First Half,200.300,Pass,Eric GEHRIG,Chicago Fire,,,-25.00,20.00,-28.00,22.00,0,Zone 98,10,8,10
Chicago Fire v Colorado Rapids,First Half,201.000,Touch,Michael STEPHENS,Chicago Fire,,,-28.00,22.00,-22.00,30.00,0,Zone 99,9,6,9
Chicago Fire v Colorado Rapids,First Half,201.500,Touch,Michael STEPHENS,Chicago Fire,,,-22.00,30.00,-15.00,30.00,0,Zone 99,9,6,9
Chicago Fire v Colorado Rapids,First Half,202.900,Touch,Michael STEPHENS,Chicago Fire,,,-15.00,30.00,-12.00,22.00,0,Zone 58,9,6,9
Chicago Fire v Colorado Rapids,First Half,205.000,Pass,Michael STEPHENS,Chicago Fire,,,-12.00,22.00,-11.00,-19.00,0,Zone 58,9,6,9
Chicago Fire v Colorado Rapids,First Half,207.600,Touch,Joevin JONES,Chicago Fire,,,-11.00,-19.00,-6.00,-15.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,208.700,Touch,Joevin JONES,Chicago Fire,,,-6.00,-15.00,-1.00,-11.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,209.600,Touch,Joevin JONES,Chicago Fire,,,-1.00,-11.00,9.00,-11.00,0,Zone 53,7,12,7
Chicago Fire v Colorado Rapids,First Half,211.200,Pass,Joevin JONES,Chicago Fire,,,9.00,-11.00,18.00,-11.00,0,Zone 46,7,12,7
Chicago Fire v Colorado Rapids,First Half,212.300,Touch,Kennedy IGBOANANIKE,Chicago Fire,,,18.00,-11.00,19.00,-12.00,0,Zone 35,0,9,0
Chicago Fire v Colorado Rapids,First Half,212.800,Touch,Kennedy IGBOANANIKE,Chicago Fire,Nick LABROCCA,Colorado Rapids,19.00,-12.00,19.00,-14.00,0,Zone 35,0,9,0
Chicago Fire v Colorado Rapids,First Half,214.100,Touch,Kennedy IGBOANANIKE,Chicago Fire,,,19.00,-14.00,19.00,-14.00,0,Zone 35,0,9,0
Chicago Fire v Colorado Rapids,First Half,214.500,Dribble,Kennedy IGBOANANIKE,Chicago Fire,,,18.00,-11.00,21.00,-16.00,0,Zone 35,0,9,0
Chicago Fire v Colorado Rapids,First Half,214.600,Pass,Kennedy IGBOANANIKE,Chicago Fire,,,21.00,-16.00,29.00,-30.00,0,Zone 3,0,9,0
Chicago Fire v Colorado Rapids,First Half,216.500,Touch,David ACCAM,Chicago Fire,,,29.00,-30.00,32.00,-29.00,0,Zone 2,4,16,4
Chicago Fire v Colorado Rapids,First Half,217.600,Touch,David ACCAM,Chicago Fire,,,32.00,-29.00,34.00,-26.00,0,Zone 2,4,16,4
Chicago Fire v Colorado Rapids,First Half,218.700,Touch,David ACCAM,Chicago Fire,,,34.00,-26.00,37.00,-16.00,0,Zone 2,4,16,4
Chicago Fire v Colorado Rapids,First Half,219.800,Pass,David ACCAM,Chicago Fire,,,37.00,-16.00,34.00,-8.00,0,Zone 6,4,16,4
Chicago Fire v Colorado Rapids,First Half,220.800,Touch,Dillon POWERS,Colorado Rapids,,,34.00,-8.00,33.00,-8.00,180,Zone 92,4,3,4
Chicago Fire v Colorado Rapids,First Half,221.800,Touch,Dillon POWERS,Colorado Rapids,,,33.00,-8.00,32.00,-8.00,180,Zone 92,4,3,4
Chicago Fire v Colorado Rapids,First Half,222.200,Pass,Dillon POWERS,Colorado Rapids,,,32.00,-8.00,11.00,5.00,180,Zone 92,4,3,4
Chicago Fire v Colorado Rapids,First Half,224.400,Touch,Kevin DOYLE,Colorado Rapids,,,11.00,5.00,11.00,2.00,180,Zone 53,4,5,4
Chicago Fire v Colorado Rapids,First Half,225.200,Touch,Kevin DOYLE,Colorado Rapids,,,11.00,2.00,11.00,0.00,180,Zone 53,4,5,4
Chicago Fire v Colorado Rapids,First Half,226.500,Pass,Kevin DOYLE,Colorado Rapids,,,11.00,0.00,7.00,-6.00,180,Zone 53,4,5,4
Chicago Fire v Colorado Rapids,First Half,228.000,Touch,Dillon POWERS,Colorado Rapids,,,7.00,-6.00,8.00,-7.00,180,Zone 55,4,3,4
Chicago Fire v Colorado Rapids,First Half,228.800,Pass,Dillon POWERS,Colorado Rapids,,,8.00,-7.00,13.00,-9.00,180,Zone 55,4,3,4
Chicago Fire v Colorado Rapids,First Half,229.500,Pass,Nick LABROCCA,Colorado Rapids,,,13.00,-9.00,-12.00,-31.00,180,Zone 56,8,6,8
Chicago Fire v Colorado Rapids,First Half,231.400,Touch,Gabriel TORRES,Colorado Rapids,,,-12.00,-31.00,-11.00,-28.00,180,Zone 49,5,11,5
Chicago Fire v Colorado Rapids,First Half,233.400,Touch,Gabriel TORRES,Colorado Rapids,,,-11.00,-28.00,-10.00,-26.00,180,Zone 50,5,11,5
Chicago Fire v Colorado Rapids,First Half,234.100,Touch,Gabriel TORRES,Colorado Rapids,,,-10.00,-26.00,-10.00,-23.00,180,Zone 50,5,11,5
Chicago Fire v Colorado Rapids,First Half,235.700,Pass,Gabriel TORRES,Colorado Rapids,,,-10.00,-23.00,-2.00,-5.00,180,Zone 50,5,11,5
Chicago Fire v Colorado Rapids,First Half,237.000,Touch,Marcelo SARVAS,Colorado Rapids,,,-2.00,-5.00,-1.00,-4.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,238.000,Pass,Marcelo SARVAS,Colorado Rapids,,,-1.00,-4.00,0.00,24.00,180,Zone 48,7,10,7
Chicago Fire v Colorado Rapids,First Half,240.100,Touch,Maynor FIGUEROA,Colorado Rapids,,,0.00,24.00,-6.00,23.00,180,Zone 44,15,18,15
Chicago Fire v Colorado Rapids,First Half,241.000,Pass,Maynor FIGUEROA,Colorado Rapids,,,-6.00,23.00,-25.00,31.00,180,Zone 44,15,18,15
Chicago Fire v Colorado Rapids,First Half,242.300,Touch,Dillon SERNA,Colorado Rapids,,,-25.00,31.00,-24.00,30.00,180,Zone 2,5,11,5
Chicago Fire v Colorado Rapids,First Half,243.000,Touch,Dillon SERNA,Colorado Rapids,,,-24.00,30.00,-23.00,28.00,180,Zone 2,5,11,5
Chicago Fire v Colorado Rapids,First Half,244.200,Pass,Dillon SERNA,Colorado Rapids,,,-23.00,28.00,-19.00,22.00,180,Zone 2,5,11,5
Chicago Fire v Colorado Rapids,First Half,245.100,Pass,Marcelo SARVAS,Colorado Rapids,,,-19.00,22.00,-18.00,30.00,180,Zone 2,7,10,7
Chicago Fire v Colorado Rapids,First Half,246.300,Touch,Maynor FIGUEROA,Colorado Rapids,,,-18.00,30.00,-11.00,27.00,180,Zone 2,15,18,15
Chicago Fire v Colorado Rapids,First Half,246.900,Pass,Maynor FIGUEROA,Colorado Rapids,,,-11.00,27.00,25.00,17.00,180,Zone 44,15,18,15
Chicago Fire v Colorado Rapids,First Half,250.800,Pass,Sean ST LEDGER,Colorado Rapids,,,25.00,17.00,44.00,-3.00,180,Zone 62,10,6,10
Chicago Fire v Colorado Rapids,First Half,253.600,Touch,Clint IRWIN,Colorado Rapids,,,44.00,-3.00,45.00,-3.00,180,Zone 79,6,9,6
Chicago Fire v Colorado Rapids,First Half,254.500,Touch,Clint IRWIN,Colorado Rapids,,,45.00,-3.00,41.00,-5.00,180,Zone 79,6,9,6
Chicago Fire v Colorado Rapids,First Half,255.300,Touch,Clint IRWIN,Colorado Rapids,,,41.00,-5.00,39.00,-6.00,180,Zone 80,6,9,6
Chicago Fire v Colorado Rapids,First Half,257.100,Pass,Clint IRWIN,Colorado Rapids,,,39.00,-6.00,-10.00,-18.00,180,Zone 80,6,9,6
Chicago Fire v Colorado Rapids,First Half,259.900,Header,Joevin JONES,Chicago Fire,,,-10.00,-18.00,-2.00,-14.00,0,Zone 51,7,12,7
Chicago Fire v Colorado Rapids,First Half,261.000,Pass,Michael STEPHENS,Chicago Fire,,,-2.00,-14.00,23.00,-23.00,0,Zone 51,9,6,9
Chicago Fire v Colorado Rapids,First Half,265.000,Touch,Bobby BURLING,Colorado Rapids,,,23.00,-23.00,22.00,-24.00,180,Zone 99,9,9,9
Chicago Fire v Colorado Rapids,First Half,265.700,Touch,Bobby BURLING,Colorado Rapids,,,22.00,-24.00,20.00,-24.00,180,Zone 99,9,9,9
Chicago Fire v Colorado Rapids,First Half,266.600,Pass,Bobby BURLING,Colorado Rapids,,,20.00,-24.00,-36.00,-24.00,180,Zone 99,9,9,9
Chicago Fire v Colorado Rapids,First Half,272.200,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-36.00,-24.00,-41.00,-25.00,0,Zone 60,8,9,8
Chicago Fire v Colorado Rapids,First Half,273.100,Pass,Jeff LARENTOWICZ,Chicago Fire,,,-41.00,-25.00,-19.00,-32.00,0,Zone 60,8,9,8
Chicago Fire v Colorado Rapids,First Half,274.700,Touch,Joevin JONES,Chicago Fire,,,-19.00,-32.00,-19.00,-31.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,275.300,Pass,Joevin JONES,Chicago Fire,,,-19.00,-31.00,-4.00,-35.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,284.600,Throw In,Drew MOOR,Colorado Rapids,,,-12.00,-34.00,-36.00,-31.00,180,Zone 49,13,15,13
Chicago Fire v Colorado Rapids,First Half,286.500,Touch,Joevin JONES,Chicago Fire,,,-36.00,-31.00,-34.00,-30.00,0,Zone 60,7,12,7
Chicago Fire v Colorado Rapids,First Half,287.600,Pass,Joevin JONES,Chicago Fire,,,-34.00,-30.00,-24.00,-25.00,0,Zone 59,7,12,7
Chicago Fire v Colorado Rapids,First Half,288.400,Touch,Michael STEPHENS,Chicago Fire,,,-24.00,-25.00,-24.00,-23.00,0,Zone 59,9,6,9
Chicago Fire v Colorado Rapids,First Half,289.100,Touch,Michael STEPHENS,Chicago Fire,,,-24.00,-23.00,-24.00,-23.00,0,Zone 59,9,6,9
Chicago Fire v Colorado Rapids,First Half,290.200,Touch,Michael STEPHENS,Chicago Fire,,,-24.00,-23.00,-14.00,-24.00,0,Zone 59,9,6,9
Chicago Fire v Colorado Rapids,First Half,291.700,Touch,Michael STEPHENS,Chicago Fire,,,-14.00,-24.00,-13.00,-24.00,0,Zone 52,9,6,9
Chicago Fire v Colorado Rapids,First Half,292.300,Pass,Michael STEPHENS,Chicago Fire,,,-13.00,-24.00,-8.00,-9.00,0,Zone 52,9,6,9
Chicago Fire v Colorado Rapids,First Half,293.100,Pass,Harrison SHIPP,Chicago Fire,,,-8.00,-9.00,-19.00,-10.00,0,Zone 53,3,8,2
Chicago Fire v Colorado Rapids,First Half,294.000,Touch,Matt WATSON,Chicago Fire,,,-19.00,-10.00,-19.00,-10.00,0,Zone 88,8,10,8
Chicago Fire v Colorado Rapids,First Half,294.800,Pass,Matt WATSON,Chicago Fire,,,-19.00,-10.00,-28.00,0.00,0,Zone 88,8,10,8
Chicago Fire v Colorado Rapids,First Half,296.900,Touch,Eric GEHRIG,Chicago Fire,,,-28.00,0.00,-28.00,0.00,0,Zone 91,10,8,10
Chicago Fire v Colorado Rapids,First Half,298.600,Pass,Eric GEHRIG,Chicago Fire,,,-28.00,0.00,-23.00,30.00,0,Zone 91,10,8,10
Chicago Fire v Colorado Rapids,First Half,300.300,Pass,Matt POLSTER,Chicago Fire,,,-23.00,30.00,-22.00,13.00,0,Zone 99,12,13,12
Chicago Fire v Colorado Rapids,First Half,302.500,Touch,Matt WATSON,Chicago Fire,,,-22.00,13.00,-22.00,12.00,0,Zone 90,8,10,8
Chicago Fire v Colorado Rapids,First Half,303.200,Touch,Matt WATSON,Chicago Fire,,,-22.00,12.00,-24.00,13.00,0,Zone 90,8,10,8
Chicago Fire v Colorado Rapids,First Half,304.000,Pass,Matt WATSON,Chicago Fire,,,-24.00,13.00,-30.00,14.00,0,Zone 90,8,10,8
Chicago Fire v Colorado Rapids,First Half,305.000,Touch,Eric GEHRIG,Chicago Fire,,,-30.00,14.00,-29.00,13.00,0,Zone 91,10,8,10
Chicago Fire v Colorado Rapids,First Half,305.900,Pass,Eric GEHRIG,Chicago Fire,,,-29.00,13.00,-29.00,-12.00,0,Zone 91,10,8,10
Chicago Fire v Colorado Rapids,First Half,308.000,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-29.00,-12.00,-20.00,-15.00,0,Zone 89,8,9,8
Chicago Fire v Colorado Rapids,First Half,308.000,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-29.00,-12.00,-20.00,-15.00,0,Zone 62,8,9,8
Chicago Fire v Colorado Rapids,First Half,310.900,Touch,Jeff LARENTOWICZ,Chicago Fire,,,-20.00,-15.00,-19.00,-14.00,0,Zone 61,8,9,8
Chicago Fire v Colorado Rapids,First Half,311.700,Pass,Jeff LARENTOWICZ,Chicago Fire,,,-19.00,-14.00,-8.00,-6.00,0,Zone 88,8,9,8
Chicago Fire v Colorado Rapids,First Half,311.700,Pass,Jeff LARENTOWICZ,Chicago Fire,,,-19.00,-14.00,-8.00,-6.00,0,Zone 61,8,9,8
Chicago Fire v Colorado Rapids,First Half,313.000,Touch,Matt WATSON,Chicago Fire,,,-8.00,-6.00,-8.00,-1.00,0,Zone 53,8,10,8
Chicago Fire v Colorado Rapids,First Half,314.100,Pass,Matt WATSON,Chicago Fire,,,-8.00,-1.00,5.00,-2.00,0,Zone 53,8,10,8
Chicago Fire v Colorado Rapids,First Half,315.200,Pass,Nick LABROCCA,Colorado Rapids,,,5.00,-2.00,-19.00,5.00,180,Zone 55,8,6,8
Chicago Fire v Colorado Rapids,First Half,317.300,Touch,Eric GEHRIG,Chicago Fire,,,-19.00,5.00,-17.00,5.00,0,Zone 90,10,8,10
Chicago Fire v Colorado Rapids,First Half,318.100,Touch,Eric GEHRIG,Chicago Fire,,,-17.00,5.00,-8.00,8.00,0,Zone 56,10,8,10
Chicago Fire v Colorado Rapids,First Half,319.800,Pass,Eric GEHRIG,Chicago Fire,,,-8.00,8.00,32.00,-30.00,0,Zone 55,10,8,10
Chicago Fire v Colorado Rapids,First Half,323.400,Header,Drew MOOR,Colorado Rapids,,,32.00,-30.00,22.00,-28.00,180,Zone 99,13,15,13
Chicago Fire v Colorado Rapids,First Half,325.500,Touch,Gabriel TORRES,Colorado Rapids,Gabriel TORRES,Colorado Rapids,22.00,-28.00,25.00,-29.00,180,Zone 99,5,11,5
